iter	Passed	Remaining
403	13632	20111
404	13662	20072
405	13702	20047
406	13723	19994
407	13764	19972
408	13800	19941
409	13842	19919
410	13883	19896
411	13909	19851
412	13938	19811
413	13977	19784
414	14011	19750
415	14055	19731
416	14103	19718
417	14168	19727
418	14230	19732
419	14267	19702
420	14325	19701
421	14366	19677
422	14425	19677
423	14468	19654
424	14512	19634
425	14577	19641
426	14657	19668
427	14772	19742
428	14851	19767
429	14890	19738
430	14932	19713
431	14958	19667
432	15015	19662
433	15050	19628
434	15092	19603
435	15144	19591
436	15179	19556
437	15216	19524
438	15249	19486
439	15279	19446
440	15303	19398
441	15368	19402
442	15402	19365
443	15444	19339
444	15486	19314
445	15534	19296
446	15589	19286
447	15637	19268
448	15671	19231
449	15699	19188
450	15744	19165
451	15750	19096
452	15786	19062
453	15850	19062
454	15875	19015
455	15908	18978
456	15948	18949
457	15975	18905
458	16013	18874
459	16043	18833
460	16074	18794
461	16102	18751
462	16144	18725
463	16185	18696
464	16220	18661
465	16276	18651
466	16302	18606
467	16316	18548
468	16354	18516
469	16396	18489
470	16437	18461
471	16475	18430
472	16505	18390
473	16534	18348
474	16563	18306
475	16590	18263
476	16615	18217
477	16692	18229
478	16727	18194
479	16751	18147
480	16783	18109
481	16805	18060
482	16835	18020
483	16858	17972
484	16882	17927
485	16917	17892
486	16944	17849
487	16969	17804
488	16996	17761
489	17014	17709
490	17028	17652
491	17057	17612
492	17088	17573
493	17126	17542
494	17152	17499
495	17183	17460
496	17246	17454
497	17309	17448
498	17349	17418
499	17423	17423
500	17464	17395
501	17500	17361
502	17517	17308
503	17551	17272
504	17592	17243
505	17617	17199
506	17648	17161
507	17708	17150
508	17766	17138
509	17826	17127
510	17889	17119
511	17920	17080
512	17947	17038
513	17988	17008
514	18009	16960
515	18062	16942
516	18115	16924
517	18145	16884
518	18186	16854
519	18221	16819
520	18256	16784
521	18288	16746
522	18326	16714
523	18364	16682
524	18405	16652
525	18466	16640
526	18508	16612
527	18527	16562
528	18622	16580
529	18682	16567
530	18708	16523
531	18752	16496
532	18791	16464
533	18846	16446
534	18876	16406
535	18908	16368
536	18959	16346
537	18989	16307
538	19026	16273
539	19042	16221
540	19064	16174
541	19096	16137
542	19123	16094
543	19151	16053
544	19188	16019
545	19224	15984
546	19264	15953
547	19297	15917
548	19330	15879
549	19350	15831
550	19370	15784
551	19424	15764
552	19460	15730
553	19506	15703
554	19537	15665
555	19587	15642
556	19628	15611
557	19649	15564
558	19696	15539
559	19720	15494
560	19753	15457
561	19782	15417
562	19806	15373
563	19870	15360
564	19913	15331
565	19949	15297
566	20024	15291
567	20087	15277
568	20140	15256
569	20179	15223
570	20203	15179
571	20249	15152
572	20273	15107
573	20297	15063
574	20355	15045
575	20426	15035
576	20475	15010
577	20523	14984
578	20545	14938
579	20570	14895
580	20589	14848
581	20610	14802
582	20635	14760
583	20659	14716
584	20688	14676
585	20715	14634
586	20752	14600
587	20780	14560
588	20816	14525
589	20849	14488
590	20868	14441
591	20894	14400
592	20951	14379
593	20979	14339
594	20997	14292
595	21037	14260
596	21090	14237
597	21121	14198
598	21148	14158
599	21189	14126
600	21216	14085
601	21249	14048
602	21287	14015
603	21316	13975
604	21353	13941
605	21400	13913
606	21419	13867
607	21447	13827
608	21466	13782
609	21505	13749
610	21547	13718
611	21574	13677
612	21606	13640
613	21633	13600
614	21656	13557
615	21687	13519
616	21715	13480
617	21747	13442
618	21771	13400
619	21795	13358
620	21822	13318
621	21862	13286
622	21898	13251
623	21930	13214
624	21951	13171
625	21985	13134
626	22008	13092
627	22035	13052
628	22069	13017
629	22103	12981
630	22131	12942
631	22161	12904
632	22186	12863
633	22213	12823
634	22250	12789
635	22272	12747
636	22295	12705
637	22334	12672
638	22377	12642
639	22405	12602
640	22433	12564
641	22459	12524
642	22493	12488
643	22515	12446
644	22543	12407
645	22573	12370
646	22607	12334
