iter	Logloss
233	0.3146452298
234	0.3146156442
235	0.3145766972
236	0.3145454285
237	0.3145225827
238	0.3145012412
239	0.3144716357
240	0.3144354987
241	0.3144069302
242	0.3143824228
243	0.3143637207
244	0.3143318355
245	0.3143137869
246	0.314279171
247	0.3142484786
248	0.3142131176
249	0.3141915845
250	0.3141684965
251	0.3141393459
252	0.3141010619
253	0.314081347
254	0.3140537466
255	0.3140315609
256	0.3139985701
257	0.3139710581
258	0.3139455263
259	0.3139130771
260	0.31388565
261	0.3138635025
262	0.3138400743
263	0.3138114091
264	0.3137797887
265	0.3137253153
266	0.3136892061
267	0.3136650701
268	0.3136415297
269	0.3136242941
270	0.3135917113
271	0.3135635587
272	0.3135409328
273	0.3135191348
274	0.3134879495
275	0.3134655605
276	0.3134343379
277	0.3134146276
278	0.3133798668
279	0.3133434706
280	0.313320698
281	0.3132993007
282	0.3132694791
283	0.3132476931
284	0.3132170195
285	0.3131709392
286	0.3131436354
287	0.3131172183
288	0.3130872267
289	0.3130631815
290	0.3130410247
291	0.3130196686
292	0.3129937571
293	0.3129762818
294	0.3129269708
295	0.3129010754
296	0.3128741304
297	0.3128497773
298	0.3128277713
299	0.3127899594
300	0.312761655
301	0.312733708
302	0.3127000868
303	0.312676042
304	0.3126535176
305	0.3126297929
306	0.3126027842
307	0.3125751118
308	0.3125542036
309	0.3125251948
310	0.3125041956
311	0.3124847022
312	0.3124627839
313	0.312445103
314	0.3124281386
315	0.312411294
316	0.3123815612
317	0.312363884
318	0.3123225577
319	0.3122992028
320	0.3122845875
321	0.3122682753
322	0.3122411692
323	0.3122199091
324	0.3121926474
325	0.3121624634
326	0.3121440596
327	0.3121182562
328	0.3120900937
329	0.3120635036
330	0.3120380047
331	0.3120148148
332	0.311985572
333	0.3119650375
334	0.3119421678
335	0.3119291487
336	0.3119091137
337	0.3118787706
338	0.311852239
339	0.3118276121
340	0.3118036004
341	0.3117800024
342	0.3117466869
343	0.3117208422
344	0.3116872093
345	0.3116683532
346	0.3116516422
347	0.3116290646
348	0.3116047183
349	0.3115898056
350	0.3115693636
351	0.3115391659
352	0.3115164716
353	0.3114927274
354	0.3114715568
355	0.3114452249
356	0.311420847
357	0.3113976897
358	0.3113745946
359	0.3113447389
360	0.31133044
361	0.31130431
362	0.3112786258
363	0.3112559647
364	0.3112390395
365	0.3112190801
366	0.3111951906
367	0.3111724779
368	0.3111473822
369	0.3111261766
370	0.3111087518
371	0.3110862407
372	0.3110563277
373	0.3110393297
374	0.3110144153
375	0.3109931517
376	0.3109787335
377	0.3109604489
378	0.3109342322
379	0.3109102313
380	0.3108890272
381	0.310868768
382	0.3108390666
383	0.3108157842
384	0.3107923852
385	0.3107720991
386	0.3107513388
387	0.3107385405
388	0.3107163846
389	0.3106894251
390	0.3106756798
391	0.3106605785
392	0.3106402708
393	0.3106239666
394	0.3105991201
395	0.3105811717
396	0.3105590164
397	0.3105328569
398	0.3105192844
399	0.3104963805
400	0.3104669317
401	0.3104464046
402	0.3104201115
403	0.3104026194
404	0.3103793941
405	0.3103649686
406	0.3103302044
407	0.3103062982
408	0.3102771046
409	0.3102656851
410	0.3102440258
411	0.3102178137
412	0.3101954951
413	0.3101729718
414	0.310154119
415	0.3101248085
416	0.3101009273
417	0.3100843959
418	0.3100720637
419	0.3100475312
420	0.3100273971
421	0.3100024582
422	0.3099829575
423	0.3099572646
424	0.3099352386
425	0.3099213686
426	0.3099011721
427	0.3098754084
428	0.309852881
429	0.3098307377
430	0.3098123349
431	0.3097825696
432	0.3097597459
433	0.3097397106
434	0.3097201694
435	0.3096954337
436	0.3096763389
437	0.3096583862
438	0.309634267
439	0.309617584
440	0.3095982345
441	0.309578904
442	0.309557966
443	0.3095389935
444	0.3095191046
445	0.3094908335
446	0.3094713931
447	0.3094566012
448	0.3094408316
449	0.3094152856
450	0.3093906077
451	0.3093705387
452	0.3093556013
453	0.3093375924
454	0.3093180491
455	0.3092939426
456	0.3092718696
457	0.3092531618
458	0.3092275914
459	0.3092087634
460	0.3091769461
461	0.3091456977
462	0.3091247607
463	0.3091032863
464	0.3090854484
465	0.3090610785
466	0.309028882
467	0.3090099509
468	0.3089918666
469	0.3089746503
470	0.3089524396
471	0.3089373379
472	0.3089221395
473	0.3088980941
474	0.3088752813
475	0.3088535274
476	0.3088404846
477	0.3088150593
478	0.3087906689
479	0.3087649643
480	0.3087452138
481	0.3087246094
482	0.3087002408
483	0.3086843903
484	0.3086659208
485	0.3086411911
486	0.3086220252
487	0.3086042108
488	0.3085784652
489	0.3085660534
490	0.3085474064
491	0.3085229866
492	0.3085003124
493	0.3084784343
494	0.3084538303
495	0.3084368009
496	0.308419543
497	0.3083971556
498	0.3083779644
499	0.3083592112
500	0.3083324149
501	0.3083108057
502	0.3082919058
503	0.3082668756
504	0.3082378715
505	0.3082158541
506	0.3081977804
507	0.3081782579
508	0.3081655521
509	0.3081464471
510	0.3081284743
511	0.3081138924
512	0.3080945849
513	0.3080722877
514	0.3080541496
515	0.3080372462
516	0.3080113733
517	0.3079928544
518	0.3079761638
519	0.3079578881
520	0.3079406872
521	0.3079248958
522	0.3079014235
523	0.3078829154
524	0.3078634134
525	0.3078485833
526	0.3078306212
527	0.3078112017
528	0.3077940873
529	0.3077660693
530	0.307748848
531	0.3077295176
532	0.3077147582
533	0.30769315
534	0.3076723182
535	0.3076563681
536	0.3076349434
537	0.3076258869
538	0.3075985609
539	0.3075697157
540	0.3075526339
541	0.3075396657
542	0.3075211401
543	0.3075063069
544	0.3074877729
545	0.3074573796
546	0.3074390367
547	0.307423562
548	0.3074062234
549	0.3073862178
550	0.3073636097
551	0.3073478234
552	0.3073391877
553	0.3073226339
554	0.3072963468
555	0.3072749031
556	0.3072542455
557	0.3072261567
558	0.3072074859
559	0.307184284
560	0.3071697811
561	0.3071477932
562	0.3071245325
563	0.3071008893
564	0.3070804638
565	0.3070516879
566	0.3070241342
567	0.3070041333
568	0.3069834496
569	0.3069627371
570	0.3069384166
571	0.3069260585
572	0.3068911626
573	0.3068677872
574	0.3068464231
575	0.3068294487
576	0.3068114413
577	0.3067918894
578	0.3067756442
579	0.3067549986
580	0.3067347929
581	0.3067123176
582	0.30669589
583	0.3066683098
584	0.306648659
585	0.3066299262
586	0.3066086815
587	0.3065838232
588	0.3065710433
589	0.3065567529
590	0.3065389407
591	0.3065162355
592	0.3064952693
593	0.3064736329
594	0.3064522966
595	0.306435511
596	0.3064036808
597	0.306375756
598	0.3063605461
599	0.3063424661
600	0.3063183866
601	0.3062897684
602	0.3062718734
603	0.3062586453
604	0.3062430071
605	0.3062267324
606	0.3062133141
607	0.306196725
608	0.3061778013
609	0.3061531357
610	0.3061379397
611	0.3061178138
612	0.3060986669
613	0.3060799497
614	0.3060597591
615	0.3060345058
616	0.3060156666
617	0.3059904756
618	0.3059747541
619	0.3059630565
620	0.3059441616
621	0.3059341398
622	0.3059161523
623	0.3058920805
624	0.3058774341
625	0.3058651931
626	0.3058476195
627	0.305832301
628	0.3058186068
629	0.3057984183
630	0.3057837316
631	0.3057677044
632	0.3057525931
633	0.3057331406
634	0.3057142717
635	0.3056939947
636	0.3056734431
637	0.3056510147
638	0.3056413375
639	0.3056288635
640	0.3056155874
641	0.3055948739
642	0.3055769589
643	0.3055627327
644	0.3055409009
645	0.305519947
646	0.3055025467
647	0.3054880129
648	0.3054686905
649	0.3054522958
650	0.3054352132
651	0.3054156959
652	0.3053973641
653	0.305382733
654	0.3053670083
655	0.3053437615
656	0.3053256178
657	0.3053109165
658	0.3052909006
659	0.3052808219
660	0.3052653844
661	0.3052521179
662	0.305235343
663	0.3052155564
664	0.3051940506
665	0.3051791729
666	0.3051641594
667	0.3051446544
668	0.3051281316
669	0.3051115929
670	0.3050890305
671	0.3050634651
672	0.3050515078
673	0.305031323
674	0.3050155783
675	0.3050049287
676	0.304988289
677	0.30497122
678	0.3049574787
679	0.304929059
680	0.3049124399
681	0.3048954787
682	0.3048723636
683	0.304852743
684	0.3048336229
685	0.3048078346
686	0.3047939649
687	0.3047714274
688	0.304744387
689	0.3047123273
690	0.304687976
691	0.30466503
692	0.3046564398
693	0.3046405904
694	0.3046226931
695	0.3045975832
696	0.3045801182
697	0.3045614516
698	0.3045503675
699	0.3045348104
700	0.304508647
701	0.3044928388
702	0.3044579534
703	0.3044410403
704	0.3044326305
705	0.3044147373
706	0.3044018894
707	0.3043818916
708	0.3043691082
709	0.3043507073
710	0.3043365112
711	0.3043213907
712	0.3043009539
713	0.3042818283
714	0.3042740244
715	0.3042514482
716	0.3042265263
717	0.3042126676
718	0.3041914612
719	0.3041753707
720	0.3041595076
721	0.3041365659
722	0.3041162472
723	0.3040986818
724	0.3040794422
725	0.3040638252
726	0.3040412615
727	0.3040292488
728	0.3040063624
729	0.3039849801
730	0.3039669442
731	0.3039542482
732	0.3039357021
733	0.3039239559
734	0.3039074939
735	0.3038864198
736	0.3038690697
737	0.3038511827
738	0.3038338688
739	0.3038214956
740	0.3038055675
741	0.3037843833
742	0.3037611409
743	0.3037525794
744	0.3037339034
745	0.3037200195
746	0.303708703
747	0.3036903352
748	0.3036733873
749	0.303651636
750	0.3036380059
751	0.3036145763
752	0.3035939524
753	0.3035759596
754	0.3035568922
755	0.3035444555
756	0.3035283439
757	0.3035050962
758	0.3034894786
759	0.3034679797
760	0.3034527073
761	0.3034369553
762	0.3034160426
763	0.3034034199
764	0.3033901468
765	0.3033760971
766	0.3033544597
767	0.3033369254
768	0.3033239728
769	0.3033124501
770	0.3032982704
771	0.3032818977
772	0.3032603178
773	0.3032375756
774	0.3032229985
775	0.3032060068
776	0.3031830049
777	0.3031667909
778	0.3031516001
779	0.3031409142
780	0.3031180991
781	0.3030973153
782	0.3030759699
783	0.3030562141
784	0.303041765
785	0.303022679
786	0.3030004729
787	0.3029799078
788	0.3029612758
789	0.302941718
790	0.30292452
791	0.3029134239
792	0.3028962882
793	0.3028818972
794	0.3028588622
795	0.3028320415
796	0.3028164188
797	0.3028028181
798	0.3027885768
799	0.3027736336
800	0.3027513901
801	0.3027298516
802	0.3027128244
803	0.30270342
804	0.3026843721
805	0.3026667178
806	0.3026513009
807	0.3026369391
808	0.3026201718
809	0.3026041436
810	0.3025883247
811	0.3025715713
812	0.3025561389
813	0.30254191
814	0.3025278214
815	0.3025128165
816	0.3024980338
817	0.3024841955
818	0.3024646614
819	0.3024488464
820	0.3024298755
821	0.3024097903
822	0.3023942262
823	0.3023749505
824	0.3023557553
825	0.3023381361
826	0.3023198461
827	0.3023035723
828	0.3022809532
829	0.3022585541
830	0.3022339353
831	0.3022139645
832	0.3021922552
833	0.3021733304
834	0.3021550858
835	0.3021375731
836	0.302131975
837	0.3021141946
838	0.3020976195
839	0.3020812826
840	0.3020702741
841	0.3020552524
842	0.3020397985
843	0.3020178957
844	0.3019969567
845	0.3019788636
846	0.3019593256
847	0.3019368888
848	0.3019287712
849	0.3019160037
850	0.3018980014
851	0.3018844667
852	0.3018682904
853	0.3018488472
854	0.3018327461
855	0.3018148794
856	0.3017987629
857	0.3017899625
858	0.3017722809
859	0.3017550058
860	0.3017390183
861	0.3017252568
862	0.3017116766
863	0.3016982224
864	0.3016782776
865	0.3016606672
866	0.3016462589
867	0.3016317129
868	0.3016165193
869	0.3015951456
870	0.3015770529
871	0.3015586178
872	0.3015464952
873	0.3015303035
874	0.3015154711
875	0.3014996477
876	0.3014857147
877	0.3014666397
878	0.30145397
879	0.301442891
880	0.3014268449
881	0.3014064837
882	0.3013899003
883	0.3013721659
884	0.3013538559
885	0.3013356197
886	0.3013221999
887	0.3013125002
888	0.3012986431
889	0.3012857386
890	0.3012676605
891	0.3012497067
892	0.3012242859
893	0.3012070497
894	0.301188405
895	0.3011762708
896	0.3011631741
897	0.3011455717
898	0.3011202492
899	0.3011087026
900	0.3010903251
901	0.3010755954
902	0.301063431
903	0.30104695
904	0.3010317925
905	0.3010151442
906	0.3009983075
907	0.300978775
908	0.3009554521
909	0.3009366355
910	0.3009210758
911	0.3009009555
912	0.300885724
913	0.3008698457
914	0.3008515782
915	0.3008384089
916	0.3008181078
917	0.3008027049
918	0.3007851234
919	0.3007694177
920	0.3007531928
921	0.3007356951
922	0.3007197878
923	0.300705957
924	0.3006862898
925	0.3006666883
926	0.3006554326
927	0.3006404069
928	0.3006219522
929	0.3006061151
930	0.3005939588
931	0.3005767345
932	0.3005571093
933	0.3005223951
934	0.3005030833
935	0.3004894003
936	0.3004724615
937	0.3004518222
938	0.3004349927
939	0.3004260588
940	0.3004124974
941	0.3003986656
942	0.3003836633
943	0.3003687174
944	0.3003550987
945	0.3003375409
946	0.3003226875
947	0.3003083542
948	0.3002876188
949	0.3002626851
950	0.3002450694
951	0.3002358209
952	0.3002201175
953	0.3002062632
954	0.3001813306
955	0.3001523376
956	0.3001333113
957	0.3001179926
958	0.3001041139
959	0.3000838302
960	0.3000703557
961	0.3000561478
962	0.3000398857
963	0.300026264
964	0.300006323
965	0.2999882751
966	0.2999710834
967	0.2999496502
968	0.2999272198
969	0.2999119381
970	0.2998947311
971	0.299881143
972	0.29986422
973	0.299847078
974	0.2998277074
975	0.2998091932
976	0.2998018325
977	0.2997814514
978	0.2997611924
979	0.2997442903
980	0.2997274099
981	0.2997079357
982	0.2996932715
983	0.2996796951
984	0.2996597334
985	0.2996481936
986	0.2996397202
987	0.2996281619
988	0.2996207917
989	0.2996030898
990	0.2995872262
991	0.2995694521
992	0.2995458302
993	0.2995304163
994	0.2995108172
995	0.2994905139
996	0.2994741414
997	0.2994590454
998	0.2994458753
999	0.299439557
436
125
